id,imdb_id,status,adult,video,title,original_title,original_language,overview,tagline,keywords,watch_providers,genres,production_companies,production_countries,spoken_languages,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,belongs_to_collection,overview_en
278,tt0111161,Released,False,False,Um Sonho de Liberdade,The Shawshank Redemption,en,"Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição.",O medo pode te fazer prisioneiro. Esperança pode te libertar.,"prison, friendship, police brutality, corruption, based on novel or book, freedom, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover, dramatic, suspenseful, excited","HBO Max, HBO Max Amazon Channel","Drama, Crime",Castle Rock Entertainment,United States of America,English,25000000,28341469,142,43.3657,8.716,29906,1994-09-23,,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
238,tt0068646,Released,False,False,O Poderoso Chefão,The Godfather,en,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.",Uma oferta que você não vai poder recusar.,"based on novel or book, loss of loved one, love at first sight, italy, gangster, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, aggressive, 1940s, 1950s, mafia war, tense, excited, tomate, العراب","Netflix, Paramount Plus, Oldflix, Paramount+ Amazon Channel, Netflix Standard with Ads, Paramount Plus Premium","Drama, Crime","Paramount Pictures, Alfran Productions",United States of America,"English, Italiano, Latin",6000000,245066411,175,44.7171,8.688,22589,1972-03-14,O Poderoso Chefão: Coleção,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
240,tt0071562,Released,False,False,O Poderoso Chefão: Parte II,The Godfather Part II,en,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais importa para ele. Agora baseado no Lago Tahoe, Michael planeja fazer incursões em Las Vegas e Havana instalando negócios ligados ao lazer, mas descobre que aliados como Hyman Roth estão tentando matá-lo.",Esse é o negócio que escolhemos.,"new year's eve, new york city, based on novel or book, italian american, cuba, italy, gangster, praise, blackmail, symbolism, senator, revenge, murder, betrayal, organized crime, extortion, mafia, lawyer, suburb, sicilian mafia, corrupt politician, macabre, 1950s, new year, violence, réveillon","Netflix, Paramount Plus, Globoplay, Paramount+ Amazon Channel, Paramount Plus Premium","Drama, Crime","Paramount Pictures, The Coppola Company",United States of America,"English, Italiano, Latin, Español",13000000,102600000,202,23.5352,8.6,13678,1974-12-20,O Poderoso Chefão: Coleção,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
424,tt0108052,Released,False,False,A Lista de Schindler,Schindler's List,en,"O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência dentro do partido nazista, foi fácil conseguir as autorizações e abrir uma fábrica. O que poderia parecer uma atitude de um homem não muito bondoso, transformou-se em um dos maiores casos de amor à vida da História, pois este alemão abdicou de toda sua fortuna para salvar a vida de mais de mil judeus em plena luta contra o extermínio alemão.",A lista... é vida.,"factory, hero, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, period drama, poland, evil, historical drama, weapons manufacturer, disheartening, nazi train, segunda guerra mundial",,"Drama, História, Guerra",Amblin Entertainment,United States of America,"Deutsch, Polski, עִבְרִית, English",22000000,321365567,195,21.5405,8.566,17201,1993-12-15,,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
389,tt0050083,Released,False,False,12 Homens e uma Sentença,12 Angry Men,en,"Um jovem porto-riquenho é acusado do brutal crime de ter matado o próprio pai. Quando ele vai a julgamento, doze jurados se reúnem para decidir a sentença, levando em conta que o réu deve ser considerado inocente até que se prove o contrário. Onze dos jurados têm plena certeza de que ele é culpado, e votam pela condenação, mas um jurado acha que é melhor investigar mais para que a sentença seja correta. Para isso ele terá que enfrentar diferentes interpretações dos fatos, e a má vontade dos outros jurados, que só querem ir logo para suas casas.",A vida está em suas mãos. A morte está em suas mentes!,"death penalty, anonymity, court case, judge, jurors, innocence, witness, knife, matter of life and death, based on play or musical, trial, murder, debate, capital punishment, black and white, courtroom, angry, courtroom drama, huis clos, baffled, derisive, foreboding",,Drama,Orion-Nova Productions,United States of America,English,397751,4360000,96,18.8273,8.555,9815,1957-04-10,,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
1181678,tt27391124,Released,False,False,¿Quieres ser mi hijo?,¿Quieres ser mi hijo?,en,,,,,"Comédia, Romance",MarVista Entertainment,United States of America,Español,0,0,100,8.3094,8.545,302,2023-09-21,¿Quieres ser mi... ? - Colección,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer."
129,tt0245429,Released,False,False,A Viagem de Chihiro,千と千尋の神隠し,ja,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos. Agora, apenas Chihiro pode salvá-los.",Do outro lado do túnel havia uma cidade misteriosa.,"witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime","Netflix, Claro tv+, Netflix Standard with Ads","Animação, Família, Fantasia","Studio Ghibli, Tokuma Shoten, Nippon Television Network Corporation, Mitsubishi, dentsu, TFC",Japan,日本語,19000000,274925095,125,27.2753,8.534,18050,2001-07-20,,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
155,tt0468569,Released,False,False,Batman: O Cavaleiro das Trevas,The Dark Knight,en,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam para combater o Homem-Morcego.",Bem-vindo ao mundo sem regras.,"sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold","Netflix, Amazon Prime Video, HBO Max, Netflix Standard with Ads, HBO Max Amazon Channel, Telecine Amazon Channel, Amazon Prime Video with Ads, Universal+ Amazon Channel","Ação, Crime, Thriller","Warner Bros. Pictures, Legendary Pictures, Syncopy, DC","United Kingdom, United States of America","English, 普通话",185000000,1004558444,152,33.945,8.527,35318,2008-07-16,O Cavaleiro das Trevas: Coleção,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
19404,tt0112870,Released,False,False,Dilwale vai levar a noiva,दिलवाले दुल्हनिया ले जायेंगे,hi,"Raj e Simran são dois jovens indianos vivendo em Londres que, acidentalmente, se conhecem durante uma viagem pela Europa. Eles se apaixonam, mas Simran está prometida a um indiano. Raj não desanima e segue seu amor até a Índia, onde os dois tentam convencer a todos que precisam ficar juntos.",,"family's daily life, family history, love-hate relationship, family drama, love affair, curious, casual","Netflix, Netflix Standard with Ads","Comédia, Drama, Romance",Yash Raj Films,India,हिन्दी,13200000,100000000,190,12.7861,8.517,4565,1995-10-20,,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
497,tt0120689,Released,False,False,À Espera de um Milagre,The Green Mile,en,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",Paul Edgecomb não acreditava em milagres. Até o dia que conheceu um.,"mentally disabled, death penalty, based on novel or book, southern usa, psychopath, death row, jail guard, supernatural, great depression, prison guard, jail, electric chair, capital punishment, torture, magic realism, healing, 1930s, abuse of power, inspirational, cruel",Universal+ Amazon Channel,"Fantasia, Drama, Crime","Castle Rock Entertainment, Darkwoods Productions",United States of America,"Français, English",60000000,286801374,189,23.1118,8.504,18945,1999-12-10,,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
